,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
DACT3-AS1,0.000292523755236181,0.00988216855078727,3.18154046840838,0.00310609550590786,0.997521698336496,NA,NOT_CHANGE
PRKD2,0.15217333037111,0.117921380372939,0.089342061133866,1.31988650000196,0.186872915533518,0.552263172904584,NOT_CHANGE
RN7SL364P,0.00992547022522754,0.0325731269318642,0.599446654364167,0.0543386583188366,0.956665350150991,0.999999101432458,NOT_CHANGE
STRN4,0.185681426625581,0.284558503772511,0.0864836444029922,3.29031582488059,0.00100074990256564,0.00502962328445473,NOT_CHANGE
Y_RNA.714,0.00147688308474318,0.00904484740646512,2.282800388218,0.00396217183646342,0.996838652536003,NA,NOT_CHANGE
FKRP,0.0288042227718297,0.0291440245609054,0.292874293952247,0.099510353631983,0.920733067693937,0.999999101432458,NOT_CHANGE
SLC1A5,0.503370146901328,-0.134961702748174,0.064906211474018,-2.07933416052483,0.0375866474056722,0.139983567699786,NOT_CHANGE
CTB-147N14.6,0.0144255514910245,0.0241021100827445,0.472105535750999,0.0510523776096043,0.95928378363371,0.999999101432458,NOT_CHANGE
AP2S1,1.81865314003689,0.340846484531983,0.0458578748616839,7.43267073670641,1.06426593213089e-13,1.17027733707397e-12,NOT_CHANGE
ARHGAP35,0.174423652730283,0.342163972742423,0.0869578102407373,3.93482738117672,8.32565123628587e-05,0.000482864930411751,NOT_CHANGE
snoU13.421,0.000110102269456363,0.0100936898389205,3.18154047000155,0.00317257942625372,0.997468652104318,NA,NOT_CHANGE
NPAS1,0.00482904511256787,-0.000919068006033604,1.01029438350615,-0.000909703172697099,0.999274161983704,0.999999101432458,NOT_CHANGE
TMEM160,1.1339102280284,0.400073905959114,0.0495105401989011,8.0805805057242,6.44591870810999e-16,7.84268900658678e-15,NOT_CHANGE
ZC3H4,0.16664655194974,0.187867243473628,0.0880905247054278,2.13266119258401,0.0329525295730198,0.124534788857857,NOT_CHANGE
RN7SL533P,0.000261008971879474,0.0105385495753988,3.1815404699801,0.00331240469038092,0.99735708827143,NA,NOT_CHANGE
SAE1,0.345738271768115,0.451959243084975,0.0711247122563972,6.35446146278538,2.09158072188467e-10,1.87554682759881e-09,NOT_CHANGE
BBC3,0.265999563726565,0.30897866600888,0.0745245788764008,4.14599680625263,3.38338541516398e-05,0.000204502552327567,NOT_CHANGE
MIR3191,0.00107090971444917,0.0134453523583979,2.78039864005685,0.00483576425505768,0.99614163339895,NA,NOT_CHANGE
CCDC9,0.0480545235778862,0.0753403674885558,0.205086446637218,0.367359075764899,0.713351193576246,0.999999101432458,NOT_CHANGE
INAFM1,0.110247397759583,0.00992419661788417,0.118081687663292,0.0840451793523042,0.933020510883271,0.999999101432458,NOT_CHANGE
C5AR1,0.00639617101407511,-0.00466176744109523,0.797595801772725,-0.00584477429637173,0.995336571379094,0.999999101432458,NOT_CHANGE
CSAR2,0.0111560936852019,0.0589206138229621,0.564859936684691,0.104310130700333,0.916923238636085,0.999999101432458,NOT_CHANGE
DHX34,0.0948908875090368,0.109362441895813,0.128081339715477,0.853851483274247,0.393187284491285,0.970812317515922,NOT_CHANGE
MEIS3,0.000912163786369229,0.0129983522223581,2.98601974807658,0.00435306974467631,0.996526763827812,NA,NOT_CHANGE
SLC8A2,0.0071539361686983,0.00734434388717808,0.742110310010697,0.00989656630302336,0.992103811436849,0.999999101432458,NOT_CHANGE
KPTN,0.0497615947161715,0.0263093378756183,0.201392356941412,0.13063722116958,0.89606229679696,0.999999101432458,NOT_CHANGE
NAPA-AS1,0.0155558637694862,-0.0496271730478867,0.455627131589244,-0.108920583536774,0.913265480473335,0.999999101432458,NOT_CHANGE
