1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
ACBD5,1.033527017,1.024765253,0.962196946,0.596062958,0.881890893,0.693003416,0.678168952,0.642218232,0.768793762,0.631104052,0.671430349,0.94049257,1.033675313,0.439382195,0.928801179,1.016688704,0.976836801,1.036924005,1.182488203,1.099357128,1.024940848,1.051716566,0.958952487,0.659349501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCS,1.888204575,1.917099714,1.740329504,1.814661503,1.844417572,1.943723083,1.96018374,2.238718748,1.774728417,1.717731833,1.872930646,1.735980749,1.774834752,1.640117884,2.004068851,1.877831221,1.995022297,1.712236881,2.06302309,1.770047784,1.760149002,1.827587366,1.838066339,2.115622997,3.129771709,2.896796942,3.131822348,3.348186731,3.091210127,2.992300034,3.131339073,2.896158218,2.903793573,2.967401981,3.042159557,3.161111355,3.114013195,3.160907745,3.051837683,3.281620502,3.263127089,3.213115692,2.922577858,3.078383923,2.979743958,3.109958172
ACD,0.965135872,1.144237518,1.060740471,0.682683587,1.042182088,0.833308876,0.623976588,1.055595279,0.904916465,0.807812512,0.712849379,0.94236064,1.045886636,0.863771796,0.786848724,0.677365124,1.039311409,0.826895237,0.955139399,0.99129349,0.985835671,0.952586055,0.85461086,0.637085915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE,0,0,0.166494504,0,0,0,0,0,0.188564733,0,0,0.055283606,0.241925508,0,0.141586512,0.251392782,0.422322065,0.308147609,0.452004433,0.359969735,0.52487129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2,3.260982037,3.535890102,2.846077204,2.327192307,2.893872261,3.290712833,2.867054939,3.409313202,3.291236401,3.274717569,3.256854773,3.137797117,3.492108345,3.570915699,3.023003101,2.965128422,3.026656866,3.106221437,2.415063381,3.19485116,3.325573921,3.268620968,3.152842999,2.115317822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKR4,1.652736068,1.525789857,1.587785244,2.08914113,1.547539711,2.316516399,1.631243706,1.636168242,1.593170404,1.431374311,2.026652336,1.612072468,1.505241513,1.670418143,1.47743845,1.506267309,1.702693224,1.696564198,1.576693177,1.508332729,1.543943167,1.34536922,1.677429199,1.472183704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACO2,0.496920317,0.58874476,0.493088126,0.263522565,0.412836283,0.142155737,0.228254005,0.600549281,0.467258304,0.228717357,0.098734736,0.139035046,0.412331581,0.044114873,0.288462698,0.34830147,0.499412298,0.366869867,0.262781084,0.580271184,0.381460607,0.484603584,0.201336026,0.096386358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT11,2.329078197,2.308941364,2.307969809,2.146779537,2.240525723,2.006592751,2.075403214,2.043653488,2.004044771,1.995414972,1.950070381,1.992674828,2.009165764,2.047069311,2.212587833,2.285786152,2.160928249,2.138484716,2.252635717,2.227431059,2.263943434,2.135305882,2.048007488,2.075312614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,0.384556234,0.362790942,0.162963331,0,0.096932448,0,0,0.409140289,0.277837008,0,0.047943488,0,0.074811511,0,0.216205448,0.13200596,0.424619466,0.221491992,0.303840786,0.405585289,0.187827289,0.446608007,0.209542841,0.256695628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT4,2.786299706,2.825840473,2.777792692,2.608113766,2.837882996,2.779517651,2.695207596,2.442987204,2.745687246,2.758810997,2.581773281,2.592481613,2.776607513,2.710605621,2.55982542,2.727643013,2.684980869,2.710435152,2.68118453,2.5868752,2.769417763,2.422618866,2.476724625,2.837455273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT8,0.100939214,0,0.513401926,0,0.491645694,0,0,0.503850758,0.302327365,0,0.114638001,0.39527899,0.989635348,0.369619906,0.06781657,0.057845891,0.57119143,0.281954467,0.355865985,0.567341387,0.53229779,0.407888353,0.073578417,0.164593026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
